product_id,product_name,category,price
1,Enfin,Sports,416.81
2,Point,Home,128.23
3,Plaine,Sports,177.07
4,Éviter,Clothing,100.23
5,Dieu,Sports,434.12
6,Même,Electronics,242.16
7,Demi,Home,42.4
8,Précipiter,Clothing,488.72
9,Étrange,Home,353.53
10,Rapport,Books,399.6
11,Facile,Books,222.82
12,Sou,Clothing,180.78
13,Rapide,Home,152.52
14,Reconnaître,Clothing,196.44
15,Gagner,Electronics,419.57
16,Souvenir,Sports,103.39
17,Frère,Clothing,420.99
18,Discours,Clothing,212.88
19,Acte,Books,217.85
20,Rose,Clothing,340.78
21,Refuser,Clothing,279.93
22,Moitié,Home,179.47
23,Quinze,Home,7.42
24,Annoncer,Electronics,169.6
25,L'une,Home,221.63
26,Soutenir,Home,102.84
27,Froid,Home,448.83
28,Fuir,Books,386.98
29,Penser,Home,40.85
30,Comprendre,Sports,451.06
31,Protéger,Clothing,232.52
32,Témoin,Electronics,487.58
33,Vêtir,Sports,5.75
34,Distinguer,Books,285.72
35,Mer,Clothing,41.67
36,Troisième,Electronics,254.73
37,Refuser,Books,87.88
38,Abandonner,Sports,119.75
39,Retirer,Clothing,163.29
40,Ligne,Books,332.34
41,Gris,Clothing,5.94
42,Front,Home,338.68
43,Prêt,Clothing,94.32
44,Gris,Clothing,310.12
45,Emporter,Books,470.28
46,Espèce,Home,55.91
47,Tout,Electronics,260.97
48,Mon,Books,159.34
49,Montagne,Home,87.81
50,D'abord,Home,452.56
51,Secret,Sports,84.97
52,Loup,Electronics,478.86
53,Vingt,Sports,208.74
54,Respect,Home,222.52
55,Maître,Home,387.7
56,Changer,Sports,197.46
57,Envelopper,Clothing,400.15
58,Pluie,Clothing,402.7
59,Or,Books,441.13
60,Moindre,Electronics,62.18
61,Système,Home,339.07
62,Arrêter,Books,32.65
63,Cas,Clothing,250.45
64,Sauver,Sports,468.34
65,Robe,Sports,208.42
66,Loup,Books,273.17
67,Sac,Clothing,353.1
68,Faux,Electronics,454.55
69,Deviner,Electronics,488.99
70,Dépasser,Sports,18.95
71,Le,Home,378.67
72,Abattre,Sports,224.15
73,Force,Electronics,211.39
74,User,Home,221.62
75,Mauvais,Clothing,303.56
76,Saint,Sports,37.3
77,Oser,Home,412.85
78,Mal,Sports,178.99
79,Hors,Electronics,121.22
80,Place,Clothing,74.96
81,Poche,Clothing,347.86
82,Beaux,Books,415.74
83,Maison,Home,112.19
84,Arracher,Sports,263.14
85,Fermer,Books,240.92
86,Considérer,Electronics,422.67
87,Voici,Electronics,251.34
88,Aile,Books,490.59
89,Lier,Clothing,168.02
90,Temps,Sports,126.29
91,Abandonner,Books,94.55
92,Contenir,Electronics,447.87
93,Quant à,Books,487.81
94,Tempête,Home,396.33
95,Tout,Electronics,490.79
96,Garder,Home,370.54
97,Fine,Home,83.97
98,Personnage,Sports,326.41
99,Réunir,Home,138.61
100,Non,Clothing,452.26
101,Répandre,Sports,222.24
102,Désormais,Home,87.81
103,Habitude,Books,317.22
104,Trace,Sports,382.27
105,Prêt,Sports,377.69
106,Trembler,Clothing,471.0
107,Campagne,Home,153.89
108,Savoir,Books,33.43
109,Million,Books,307.94
110,Rendre,Books,436.05
111,Nuit,Home,382.67
112,Gauche,Electronics,131.1
113,Poche,Sports,48.26
114,Lourd,Books,331.19
115,Servir,Electronics,18.16
116,Profiter,Electronics,465.22
117,Pensée,Electronics,429.92
118,Éprouver,Clothing,385.88
119,Y,Home,394.16
120,Officier,Home,180.92
121,Hiver,Clothing,284.38
122,Aussi,Sports,318.92
123,Portier,Electronics,378.92
124,Réfléchir,Books,438.39
125,Terre,Sports,328.48
126,Rayon,Books,426.37
127,Arriver,Books,21.19
128,Cours,Clothing,365.75
129,Dent,Sports,287.76
130,Que,Sports,262.96
131,Valeur,Electronics,60.22
132,Cela,Clothing,281.53
133,Feu,Clothing,233.96
134,Rendre,Home,347.79
135,Fort,Books,374.09
136,Problème,Sports,329.3
137,Suite,Home,317.72
138,Sûr,Books,444.28
139,Lit,Books,420.45
140,Absence,Books,110.94
141,Choisir,Clothing,18.12
142,Société,Sports,21.18
143,Cher,Books,54.19
144,Sembler,Books,31.48
145,Respecter,Home,5.18
146,Ventre,Clothing,427.91
147,Palais,Sports,245.81
148,Précieux,Electronics,236.39
149,Naître,Sports,104.74
150,Tourner,Electronics,344.74
151,Attitude,Books,146.64
152,Fort,Home,311.32
153,Profond,Home,450.92
154,Déjà,Home,282.64
155,Effacer,Sports,412.36
156,Permettre,Clothing,406.34
157,Rêve,Books,453.48
158,Dangereux,Clothing,363.21
159,Ni,Home,10.22
160,Aujourd'hui,Sports,374.26
161,Souffler,Books,322.6
162,Choisir,Books,298.83
163,Vers,Books,13.86
164,Travailler,Sports,67.84
165,Semaine,Books,111.6
166,Décider,Clothing,309.24
167,Exemple,Home,332.01
168,Offrir,Clothing,268.22
169,Bois,Electronics,219.84
170,Moitié,Sports,26.34
171,En,Electronics,198.79
172,Entrer,Sports,448.43
173,Tour,Sports,249.58
174,Ou,Home,486.83
175,Attirer,Electronics,423.17
